DIEGRAPH2
[CURRENT]
item=3030053
mspec=4780
min=0.032
target=0.035
max=0.038
range=6
0.5307
0.5338
0.5282

0.5171
[LOOKUP]
MSPEC #	AF#	Lower Spec	Lower Control	Target	Upper Control	Upper Spec	Thickness Range Max	Cell Count Min	Cell Count Max	Density Min	Density Target	Density Max	Weight Min	Weight Target	Weight Max	Filename
4010	AF030		3.2000000000000001E-2	3.5000000000000003E-2	3.7999999999999999E-2		6	28	32							4010 S1  5.8 Die 26 Mandrel AF030 1.7# DOW
5000	AF030		3.2000000000000001E-2	3.5000000000000003E-2	3.7999999999999999E-2		10	28	32							5000 S1 9.3 die AF030 2.1# Rev 7-25-13
7001	AF083		8.6999999999999994E-2	8.6999999999999994E-2	9.0999999999999998E-2		6	27	31							7001 S3 6.0 die AF083 1.4# Rev 062209 - Lowes
7002	AF090		8.6999999999999994E-2	0.94	0.10100000000000001		20	26	30							7002 S3 4.1 die AF090 1.4# Rev 070610
7003	AF080		7.5999999999999998E-2	0.08	8.4000000000000005E-2		6	26	30							7003 S3 4.1 die AF080 1.2# Rev 12-20-11
7016	AF125		0.112	0.128	0.13200000000000001		40	26	30							7016 S3 6.0 die AF125 2.1# HC Rev 12-19-12
7017	AF125		0.104	0.115	0.125		20	26	30							7017 S3 7.0 Richter AF125AS 2.0# Rev 09-20-12
7021	AF078		7.0000000000000007E-2	7.8E-2	8.5999999999999993E-2		20	26	30							7021 S3 7.0 Richter AF078 2.0# Rev 030411
8001	AF060		6.2E-2	6.4000000000000001E-2	6.6000000000000003E-2		10	26	30							8001 S1 9.3 die AF060HD 1.48# Rev 7-11-13
4006	AF125		0.113	0.125	0.13700000000000001		24	26	28							4006 S3 6.0 die AF125 2.0# Rev 061406 - needs verification of talc
4014	AF125		0.11799999999999999	0.125	0.13700000000000001		24	26	28							4014 S3-6.0 Richter-4014-wH20Ring-AF125 6# MDL
6075	AF75 			7.4999999999999997E-2			24	26	28							6075 S3 6.0 Richter AF75 6.5# MDL Mexico Rev 09252015
6125	AF125		0.113	0.125	0.13700000000000001		24	26	28							6125 S3-6.0 Richter-AF125 5# MDL
6250	AF250		0.25	0.25	0.26		24	26	28							6250 S3 6.0 Richter AF250 2 # REV 9-23-2015
4005	AF060		5.7000000000000002E-2	6.2E-2	6.7000000000000004E-2		15	24	28		1	1	1	1	1	4005 S1  5.8 Die 26 Mandrel AF060 1.2# DOW
8002	AF060		5.7000000000000002E-2	6.2E-2	6.7000000000000004E-2		10	24	28							8002 S1 9.3 die AF060HD 2.1# Rev 05-28-2015
6076	AF125		0.113	0.125	0.13700000000000001		24	24	26							6076 S3-6.0 Richter-AF125 7# MDL
7008	AF125		0.121	0.127	0.13500000000000001		24	23	26							7008 S3 7.0 Richter AF125 4.0# Rev 7-17-2009
4002	AF090		8.6999999999999994E-2	9.4E-2	0.10100000000000001		20	22	26							4002 S1  5.8 Die 26 Mandrel AF090 1# DOW
4008	AF078		6.5000000000000002E-2	7.4999999999999997E-2	8.5000000000000006E-2		20	22	26							4008 S1  9.3 Die 35.6 Mandrel AF078 1.2# DOW
6021	AF078		7.0000000000000007E-2	7.8E-2	8.5999999999999993E-2		20	22	26							6021 S3-6.0 Richter-AF078 2.0# Royal Blue
7005	AF090		8.6999999999999994E-2	9.4E-2	9.0999999999999998E-2		20	22	26							7005A S3 4.1 Die 18 Mandrel AF090 1.0# DOW
